raceId,season,round,raceName,date,circuitId,circuitName,country,lat,lng
1987_11,1987,11,Italian Grand Prix,1987-09-06,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1987_12,1987,12,Portuguese Grand Prix,1987-09-20,estoril,Autódromo do Estoril,Portugal,38.7506,-9.39417
1987_13,1987,13,Spanish Grand Prix,1987-09-27,jerez,Circuito de Jerez,Spain,36.7083,-6.03417
1987_14,1987,14,Mexican Grand Prix,1987-10-18,rodriguez,Autódromo Hermanos Rodríguez,Mexico,19.4042,-99.0907
1987_15,1987,15,Japanese Grand Prix,1987-11-01,suzuka,Suzuka Circuit,Japan,34.8431,136.541
1987_16,1987,16,Australian Grand Prix,1987-11-15,adelaide,Adelaide Street Circuit,Australia,-34.9272,138.617
1988_1,1988,1,Brazilian Grand Prix,1988-04-03,jacarepagua,Autódromo Internacional Nelson Piquet,Brazil,-22.9756,-43.395
1988_2,1988,2,San Marino Grand Prix,1988-05-01,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
1988_3,1988,3,Monaco Grand Prix,1988-05-15,monaco,Circuit de Monaco,Monaco,43.7347,7.42056
1988_4,1988,4,Mexican Grand Prix,1988-05-29,rodriguez,Autódromo Hermanos Rodríguez,Mexico,19.4042,-99.0907
1988_5,1988,5,Canadian Grand Prix,1988-06-12,villeneuve,Circuit Gilles Villeneuve,Canada,45.5,-73.5228
1988_6,1988,6,Detroit Grand Prix,1988-06-19,detroit,Detroit Street Circuit,USA,42.3298,-83.0401
1988_7,1988,7,French Grand Prix,1988-07-03,ricard,Circuit Paul Ricard,France,43.2506,5.79167
1988_8,1988,8,British Grand Prix,1988-07-10,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1988_9,1988,9,German Grand Prix,1988-07-24,hockenheimring,Hockenheimring,Germany,49.3278,8.56583
1988_10,1988,10,Hungarian Grand Prix,1988-08-07,hungaroring,Hungaroring,Hungary,47.5789,19.2486
1988_11,1988,11,Belgian Grand Prix,1988-08-28,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1988_12,1988,12,Italian Grand Prix,1988-09-11,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1988_13,1988,13,Portuguese Grand Prix,1988-09-25,estoril,Autódromo do Estoril,Portugal,38.7506,-9.39417
1988_14,1988,14,Spanish Grand Prix,1988-10-02,jerez,Circuito de Jerez,Spain,36.7083,-6.03417
1988_15,1988,15,Japanese Grand Prix,1988-10-30,suzuka,Suzuka Circuit,Japan,34.8431,136.541
1988_16,1988,16,Australian Grand Prix,1988-11-13,adelaide,Adelaide Street Circuit,Australia,-34.9272,138.617
1989_1,1989,1,Brazilian Grand Prix,1989-03-26,jacarepagua,Autódromo Internacional Nelson Piquet,Brazil,-22.9756,-43.395
1989_2,1989,2,San Marino Grand Prix,1989-04-23,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
1989_3,1989,3,Monaco Grand Prix,1989-05-07,monaco,Circuit de Monaco,Monaco,43.7347,7.42056
1989_4,1989,4,Mexican Grand Prix,1989-05-28,rodriguez,Autódromo Hermanos Rodríguez,Mexico,19.4042,-99.0907
1989_5,1989,5,United States Grand Prix,1989-06-04,phoenix,Phoenix street circuit,USA,33.4479,-112.075
1989_6,1989,6,Canadian Grand Prix,1989-06-18,villeneuve,Circuit Gilles Villeneuve,Canada,45.5,-73.5228
1989_7,1989,7,French Grand Prix,1989-07-09,ricard,Circuit Paul Ricard,France,43.2506,5.79167
1989_8,1989,8,British Grand Prix,1989-07-16,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1989_9,1989,9,German Grand Prix,1989-07-30,hockenheimring,Hockenheimring,Germany,49.3278,8.56583
